"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","上传成功","testcases","Wed Dec 11 15:17:15 CST 2024","passed","Wed Dec 11 15:17:15 CST 2024","TestRunner","test_runner","",""
"","82","管理员登录成功","testcases","Wed Dec 11 15:17:15 CST 2024","passed","Wed Dec 11 15:17:15 CST 2024","TestRunner","test_runner","",""
